StruCluster	accession	tSNE1	tSNE2	Taxonomic.lineage	Organism	Phylum	seqid	alntmscore
SC13	A0A099PFF1	88.4502	43.82721	unclassified Nitrincola (no rank), Nitrincola (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Nitrincola sp. A-D6	Pseudomonadota	0.524	0.9624
SC13	A0A0A1FBY2	91.4962	-13.563345	Collimonas (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Collimonas arenae	Pseudomonadota	0.557	0.9568
SC13	A0A0A2SPN0	101.84211	4.9228034	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella norrlandica	Pseudomonadota	0.495	0.9698
SC13	A0A0B0HGA9	89.14803	18.227665	sulfur-oxidizing symbionts (no rank), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Solemya velum gill symbiont	Pseudomonadota	0.525	0.9815
SC13	A0A0B7GVB7	61.873203	30.365976	Treponema (genus), Treponemataceae (family), Spirochaetales (order), Spirochaetia (class), Spirochaetes (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Treponema phagedenis	Spirochaetes	0.382	0.948
SC13	A0A0C3EF34	73.76619	50.607418	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas sp. KHS3	Pseudomonadota	0.527	0.9546
SC13	A0A0D5M097	75.13386	50.62025	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas sp. KO116	Pseudomonadota	0.531	0.9549
SC13	A0A0D5NL51	78.52331	39.160686	Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus beijingensis	Bacillota	0.431	0.9627
SC13	A0A0D6E5E4	73.43561	50.6952	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas sp. R57-5	Pseudomonadota	0.527	0.9548
SC13	A0A0D7UUB8	72.92724	50.53598	Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas meridiana	Pseudomonadota	0.532	0.9566
SC13	A0A0D7X516	79.4371	37.853268	Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus terrae	Bacillota	0.428	0.9629
SC13	A0A0E2ZK47	102.218025	6.214534	Nitrosococcus oceani (species), Nitrosococcus (genus), Chromatiaceae (family), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Nitrosococcus oceani C-27	Pseudomonadota	0.561	0.9864
SC13	A0A0E3YVZ4	66.51112	31.893446	unclassified Verrucomicrobia (no rank), Verrucomicrobia (phylum), PVC group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Verrucomicrobia bacterium IMCC26134	Other	0.48	0.9168
SC13	A0A0F3K9A4	99.91084	51.055714	Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter yeojuensis	Pseudomonadota	0.505	0.9512
SC13	A0A0F3L1M9	102.017784	5.519945	Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter yeojuensis	Pseudomonadota	0.516	0.9753
SC13	A0A0G3G8X5	95.09474	11.818602	Thioalkalivibrio (genus), Ectothiorhodospiraceae (family), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thioalkalivibrio versutus	Pseudomonadota	0.543	0.9851
SC13	A0A0G9H7I3	96.16149	21.945513	Dyella japonica (species), Dyella (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dyella japonica DSM 16301	Pseudomonadota	0.521	0.9673
SC13	A0A0G9H8D1	97.76346	52.97829	Dyella japonica (species), Dyella (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dyella japonica DSM 16301	Pseudomonadota	0.51	0.9556
SC13	A0A0G9HCF0	95.882	13.65416	Luteibacter rhizovicinus (species), Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter rhizovicinus DSM 16549	Pseudomonadota	0.518	0.9703
SC13	A0A0H4VK48	65.585655	36.51754	Rufibacter (genus), Hymenobacteraceae (family), Cytophagales (order), Cytophagia (class), Bacteroidota (phylum), Bacteroidetes/Chlorobi group (no rank), FCB group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Rufibacter radiotolerans	Bacteroidota	0.358	0.914
SC13	A0A0M4G7E4	41.684055	27.30691	unclassified Capnocytophaga (no rank), Capnocytophaga (genus), Flavobacteriaceae (family), Flavobacteriales (order), Flavobacteriia (class), Bacteroidota (phylum), Bacteroidetes/Chlorobi group (no rank), FCB group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Capnocytophaga sp. oral taxon 323	Bacteroidota	0.334	0.9029
SC13	A0A0P7XTH6	64.83292	40.385014	unclassified Oceanicaulis (no rank), Oceanicaulis (genus), Maricaulaceae (family), Maricaulales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oceanicaulis sp. HLUCCA04	Pseudomonadota	0.426	0.9233
SC13	A0A0P7YXL4	73.56683	47.856007	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas sp. HL-48	Pseudomonadota	0.535	0.9547
SC13	A0A0P9FH98	78.21431	42.81758	unclassified Paenibacillus (no rank), Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus sp. A3	Bacillota	0.434	0.9443
SC13	A0A0Q5LDN3	0.47259307	27.557587	unclassified Deinococcus (no rank), Deinococcus (genus), Deinococcaceae (family), Deinococcales (order), Deinococci (class), Deinococcus-Thermus (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Deinococcus sp. Leaf326	Deinococcus-Thermus	0.435	0.9117
SC13	A0A0Q6TUH8	57.66782	36.184414	unclassified Caulobacter (no rank), Caulobacter (genus), Caulobacteraceae (family), Caulobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Caulobacter sp. Root342	Pseudomonadota	0.394	0.9225
SC13	A0A0Q7IX27	77.99688	39.841843	unclassified Paenibacillus (no rank), Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus sp. Root444D2	Bacillota	0.433	0.9626
SC13	A0A0Q7WKI6	62.622143	38.167152	unclassified Caulobacter (no rank), Caulobacter (genus), Caulobacteraceae (family), Caulobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Caulobacter sp. Root1472	Pseudomonadota	0.407	0.9266
SC13	A0A0Q8DU06	97.599106	20.40932	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. Root627	Pseudomonadota	0.524	0.9648
SC13	A0A0Q8DZ75	97.89787	52.9147	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. Root627	Pseudomonadota	0.519	0.9528
SC13	A0A0Q8MA77	100.39154	10.242457	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. Root179	Pseudomonadota	0.527	0.9729
SC13	A0A0Q8MYS6	96.69695	53.221874	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. Root179	Pseudomonadota	0.514	0.9549
SC13	A0A0Q9LBJ0	80.32738	36.54638	unclassified Paenibacillus (no rank), Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus sp. Soil522	Bacillota	0.432	0.9592
SC13	A0A0Q9LLI4	78.72902	37.718094	unclassified Paenibacillus (no rank), Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus sp. Soil724D2	Bacillota	0.433	0.961
SC13	A0A0Q9PKU0	95.44433	53.965946	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. Soil772	Pseudomonadota	0.527	0.951
SC13	A0A0Q9PMD9	104.447624	45.309837	unclassified Frateuria (no rank), Frateuria (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Frateuria sp. Soil773	Pseudomonadota	0.524	0.9541
SC13	A0A0Q9PNP2	98.93374	17.90867	unclassified Frateuria (no rank), Frateuria (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Frateuria sp. Soil773	Pseudomonadota	0.525	0.9629
SC13	A0A0Q9PNS6	99.23436	10.559908	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. Soil772	Pseudomonadota	0.52	0.9648
SC13	A0A0R2AGM6	84.80401	38.26942	Paucilactobacillus vaccinostercus (species), Paucilactobacillus (genus), Lactobacillaceae (family), Lactobacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paucilactobacillus vaccinostercus DSM 20634	Bacillota	0.415	0.9508
SC13	A0A0R2S994	87.79239	26.911612	OM182 clade (no rank), OMG group (no rank), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	OM182 bacterium BACL3 MAG-120507-bin80	Pseudomonadota	0.521	0.9643
SC13	A0A0R2SWC7	86.66429	30.742466	OM182 clade (no rank), OMG group (no rank), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	OM182 bacterium BACL3 MAG-120920-bin41	Pseudomonadota	0.512	0.9819
SC13	A0A0R2TC88	92.9704	47.13938	OM182 clade (no rank), OMG group (no rank), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	OM182 bacterium BACL3 MAG-120619-bin3	Pseudomonadota	0.518	0.9475
SC13	A0A0R2WWG8	88.67349	45.607056	OM182 clade (no rank), OMG group (no rank), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	OM182 bacterium BACL3 MAG-120924-bin41	Pseudomonadota	0.508	0.934
SC13	A0A0R2XI14	89.3138	45.844883	OM182 clade (no rank), OMG group (no rank), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	OM182 bacterium BACL3 MAG-120531-bin86	Pseudomonadota	0.518	0.9313
SC13	A0A0S2KEK4	88.958015	45.914658	Pseudohongiella (genus), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudohongiella spirulinae	Pseudomonadota	0.533	0.9475
SC13	A0A0S2S7Y6	79.331924	38.089794	unclassified Paenibacillus (no rank), Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus sp. IHB B 3084	Bacillota	0.428	0.9631
SC13	A0A0S2TA54	74.54001	51.537796	Candidatus Tenderia (genus), Chromatiaceae (family), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Tenderia electrophaga	Pseudomonadota	0.549	0.9797
SC13	A0A0S7Z0P1	93.78389	54.949627	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium SG8_30	Pseudomonadota	0.517	0.9774
SC13	A0A0S8GKD7	89.42835	27.08024	unclassified Acidithiobacillales (no rank), Acidithiobacillales (order), Acidithiobacillia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acidithiobacillales bacterium SM23_46	Pseudomonadota	0.598	0.976
SC13	A0A0W0RW53	96.41681	12.922947	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella bozemanae (Fluoribacter bozemanae)	Pseudomonadota	0.489	0.97
SC13	A0A0W0SR90	88.6978	12.497748	Legionella drozanskii (species), Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella drozanskii LLAP-1	Pseudomonadota	0.493	0.9709
SC13	A0A0W0TU97	100.20091	5.086599	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella geestiana	Pseudomonadota	0.493	0.9782
SC13	A0A0W0VIH8	99.81729	12.295083	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella londiniensis	Pseudomonadota	0.491	0.9698
SC13	A0A0W0X3L0	88.61592	12.274584	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella nautarum	Pseudomonadota	0.491	0.9696
SC13	A0A0W0XGT0	100.41008	5.123325	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella oakridgensis	Pseudomonadota	0.487	0.9775
SC13	A0A0W0YQ06	99.89748	12.564012	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella sainthelensi	Pseudomonadota	0.486	0.9624
SC13	A0A0W0YZM5	98.85393	11.191308	Legionella shakespearei (species), Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella shakespearei DSM 23087	Pseudomonadota	0.5	0.9622
SC13	A0A0W0ZCW2	96.00142	22.090311	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella santicrucis	Pseudomonadota	0.484	0.9623
SC13	A0A0W0ZQ47	86.97311	30.198862	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella tucsonensis	Pseudomonadota	0.491	0.9683
SC13	A0A0W1ADK7	100.17262	8.259837	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella waltersii	Pseudomonadota	0.494	0.9732
SC13	A0A0W1AJE8	97.58147	4.288761	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella worsleiensis	Pseudomonadota	0.493	0.9716
SC13	A0A101D3G5	73.46755	50.587032	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas sp. 54_146	Pseudomonadota	0.529	0.9588
SC13	A0A127B4S4	65.14502	37.17135	unclassified Rufibacter (no rank), Rufibacter (genus), Hymenobacteraceae (family), Cytophagales (order), Cytophagia (class), Bacteroidota (phylum), Bacteroidetes/Chlorobi group (no rank), FCB group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Rufibacter sp. DG15C	Bacteroidota	0.364	0.9418
SC13	A0A127Q6A3	91.48295	-13.442182	Collimonas (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Collimonas pratensis	Pseudomonadota	0.562	0.9577
SC13	A0A127QW14	91.51485	-13.573067	Collimonas (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Collimonas pratensis	Pseudomonadota	0.562	0.9757
SC13	A0A143XKN0	84.67903	39.119434	unclassified Eubacteriaceae (no rank), Eubacteriaceae (family), Eubacteriales (order), Clostridia (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Eubacteriaceae bacterium CHKCI004	Bacillota	0.41	0.9494
SC13	A0A154QDH7	95.35066	22.666727	Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter thiooxydans	Pseudomonadota	0.527	0.9733
SC13	A0A154R461	97.42139	53.36731	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. FW510-R10	Pseudomonadota	0.509	0.9539
SC13	A0A154R5W0	92.68229	24.506329	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. FW510-R10	Pseudomonadota	0.532	0.9751
SC13	A0A160DXL3	96.94516	21.159468	Dokdonella koreensis (species), Dokdonella (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dokdonella koreensis DS-123	Pseudomonadota	0.528	0.979
SC13	A0A160MZ81	95.86345	12.827465	Dyella (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dyella thiooxydans	Pseudomonadota	0.518	0.9685
SC13	A0A160MZG8	97.3088	53.642994	Dyella (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dyella thiooxydans	Pseudomonadota	0.497	0.9571
SC13	A0A163YDS8	78.76013	41.84086	Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus elgii	Bacillota	0.433	0.9452
SC13	A0A167BRN1	97.120636	20.338902	unclassified Ectothiorhodospira (no rank), Ectothiorhodospira (genus), Ectothiorhodospiraceae (family), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Ectothiorhodospira sp. BSL-9	Pseudomonadota	0.573	0.9811
SC13	A0A172YEH4	73.42647	51.189568	Halotalea (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halotalea alkalilenta	Pseudomonadota	0.501	0.9491
SC13	A0A177W402	86.65695	13.167068	unclassified Piscirickettsiaceae (no rank), Piscirickettsiaceae (family), Thiotrichales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Piscirickettsiaceae bacterium NZ-RLO1	Pseudomonadota	0.516	0.9684
SC13	A0A1A0FHK1	73.59267	48.255386	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas sp. G11	Pseudomonadota	0.537	0.9594
SC13	A0A1A5YC44	79.082306	39.369328	Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus oryzae	Bacillota	0.438	0.9635
SC13	A0A1A6C226	89.467545	26.950468	Acidihalobacter (genus), Ectothiorhodospiraceae (family), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acidihalobacter prosperus	Pseudomonadota	0.585	0.974
SC13	A0A1A9R5G8	73.80672	50.828365	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas sp. ALS9	Pseudomonadota	0.535	0.9548
SC13	A0A1B3BBR7	-88.83291	11.039167	Kangiella (genus), Kangiellaceae (family), Kangiellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Kangiella sediminilitoris	Pseudomonadota	0.499	0.9559
